read(MB/s) write(MB/s) Queue_Length Utilization date time elapsed_time
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 510
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 515
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 520
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 525
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 530
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 535
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 540
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 545
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 550
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 555
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 560
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 565
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 570
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 575
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 580
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 585
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 590
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 595
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 600
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 605
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 610
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 615
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 620
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 625
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 630
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 635
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 640
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 645
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 650
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 655
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 660
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 665
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 670
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 675
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 680
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 685
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 690
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 695
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 700
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 705
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 710
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 715
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 720
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 725
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 730
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 735
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 740
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 745
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 750
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 755
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 760
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 765
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 770
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 775
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 780
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 785
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 790
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 795
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 800
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 805
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 810
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 815
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 820
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 825
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 830
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 835
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 840
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 845
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 850
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 855
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 860
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 865
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 870
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 875
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 880
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 885
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 890
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 895
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 900
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 905
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 910
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 915
0.15 0.11 0.05 42.95 2016-04-15 11:49:06 920
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 925
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 930
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 935
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 940
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 945
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 950
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 955
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 960
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 965
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 970
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 975
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 980
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 985
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 990
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 995
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1000
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1005
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1010
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1015
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1020
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1025
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1030
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1035
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1040
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1045
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1050
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1055
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1060
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1065
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1070
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1075
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1080
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1085
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1090
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1095
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1100
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1105
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1110
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1115
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1120
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1125
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1130
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1135
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1140
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1145
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1150
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1155
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1160
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1165
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1170
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1175
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1180
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1185
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1190
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1195
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1200
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1205
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1210
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1215
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1220
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1225
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1230
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1235
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1240
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1245
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1250
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1255
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1260
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1265
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1270
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1275
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1280
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1285
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1290
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1295
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1300
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1305
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1310
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1315
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1320
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1325
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1330
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1335
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1340
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1345
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1350
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1355
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1360
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1365
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1370
0.15 0.11 0.05 42.95 2016-04-15 11:49:07 1375
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1380
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1385
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1390
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1395
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1400
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1405
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1410
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1415
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1420
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1425
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1430
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1435
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1440
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1445
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1450
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1455
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1460
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1465
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1470
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1475
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1480
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1485
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1490
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1495
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1500
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1505
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1510
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1515
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1520
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1525
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1530
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1535
0.15 0.11 0.05 42.95 2016-04-15 11:49:08 1540
