#Mem_used Mem_free Mem_buffers Mem_cached Swap_used Swap_free Date Time Elapsed_time
936984 89028 58452 748016 12 1046512 2016-04-15 16:32:58 475
937472 88540 58460 748028 12 1046512 2016-04-15 16:33:04 480
936872 89140 58468 748048 12 1046512 2016-04-15 16:33:09 485
936996 89016 58476 748056 12 1046512 2016-04-15 16:33:14 490
937124 88888 58484 748064 12 1046512 2016-04-15 16:33:19 495
936636 89376 58492 748076 12 1046512 2016-04-15 16:33:24 500
936976 89036 58500 748084 12 1046512 2016-04-15 16:33:29 505
937140 88872 58508 748096 12 1046512 2016-04-15 16:33:34 510
936896 89116 58516 748104 12 1046512 2016-04-15 16:33:39 515
937000 89012 58524 748112 12 1046512 2016-04-15 16:33:44 520
936376 89636 58532 748124 12 1046512 2016-04-15 16:33:50 525
936628 89384 58540 748136 12 1046512 2016-04-15 16:33:55 530
937328 88684 58548 748144 12 1046512 2016-04-15 16:34:00 535
938992 87020 58640 749624 12 1046512 2016-04-15 16:34:05 540
938988 87024 58648 749636 12 1046512 2016-04-15 16:34:10 545
938856 87156 58656 749644 12 1046512 2016-04-15 16:34:15 550
939348 86664 58668 749784 12 1046512 2016-04-15 16:34:20 555
938924 87088 58676 749796 12 1046512 2016-04-15 16:34:25 560
938648 87364 58684 749804 12 1046512 2016-04-15 16:34:31 565
939324 86688 58700 749896 12 1046512 2016-04-15 16:34:36 570
939260 86752 58708 749904 12 1046512 2016-04-15 16:34:41 575
939252 86760 58716 749912 12 1046512 2016-04-15 16:34:46 580
