%usr %sys %iowait %idle date time elapsed_time
30.60 69.40 0.00 0.00 2016-04-15 16:33:29 510
27.25 72.75 0.00 0.00 2016-04-15 16:33:34 515
29.80 70.20 0.00 0.00 2016-04-15 16:33:40 520
29.20 70.80 0.00 0.00 2016-04-15 16:33:45 525
29.20 70.80 0.00 0.00 2016-04-15 16:33:50 530
28.34 71.66 0.00 0.00 2016-04-15 16:33:55 535
29.34 70.66 0.00 0.00 2016-04-15 16:34:00 540
31.40 68.20 0.00 0.00 2016-04-15 16:34:05 545
29.54 70.06 0.00 0.00 2016-04-15 16:34:10 550
31.14 68.66 0.00 0.00 2016-04-15 16:34:15 555
27.80 72.20 0.00 0.00 2016-04-15 16:34:20 560
30.00 70.00 0.00 0.00 2016-04-15 16:34:25 565
28.54 71.46 0.00 0.00 2016-04-15 16:34:30 570
28.66 71.34 0.00 0.00 2016-04-15 16:34:35 575
30.40 69.60 0.00 0.00 2016-04-15 16:34:40 580
28.40 71.60 0.00 0.00 2016-04-15 16:34:45 585
27.74 71.66 0.00 0.00 2016-04-15 16:34:50 590
