read(MB/s) write(MB/s) Queue_Length Utilization date time elapsed_time
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 510
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 515
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 520
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 525
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 530
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 535
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 540
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 545
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 550
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 555
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 560
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 565
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 570
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 575
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 580
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 585
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 590
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 595
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 600
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 605
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 610
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 615
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 620
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 625
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 630
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 635
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 640
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 645
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 650
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 655
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 660
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 665
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 670
0.02 0.00 0.01 0.64 2016-04-15 16:24:50 675
